stake;upper;lower;d;x;y;PH;CLAY;EXPH;EXCA;EXMG;ECEC;TOOC;TOPH;TOCA;FRAG
1;0;20;10;807946.077;9640336.751;4.6;328;32;0.91;0.25;7.9363656633;23;0.5;0.6;0
1;20;40;30;807946.077;9640336.751;4.71;506;31;0.46;0.08;6.5545930881;15.3;0.8;0.4;0
1;40;60;50;807946.077;9640336.751;4.82;626;17;0.33;0.07;4.7866443701;10.2;0.7;0.3;0
1;60;80;70;807946.077;9640336.751;5;617.5;6;0.22;0.05;2.7994760312;7;0.5;0.3;0
1;80;100;90;807946.077;9640336.751;5.15;632.5;4;0.15;0.04;0.7920401338;5.6;0.5;0.3;0
2;0;20;10;807960.232;9640321.027;4.88;257;35;2.26;0.25;8.7148494983;26.3;0.6;1;0.18
2;20;40;30;807960.232;9640321.027;5.05;438;54;1.17;0.07;6.4171683389;15;0.8;0.6;0
2;40;60;50;807960.232;9640321.027;5.15;569.5;96;0.92;0.04;4.9794760312;8.6;1.1;0.5;0
2;60;80;70;807960.232;9640321.027;5.22;583.5;108;0.88;0.04;3.9769119287;7.7;1;0.5;0
2;80;100;90;807960.232;9640321.027;5.12;689.5;131;0.77;0.04;3.7094760312;5.3;1.1;0.5;0
3;0;20;10;807986.819;9640272.461;5.32;309.5;48;2.11;0.29;7.3125529543;18.1;0.5;1;0
3;20;40;30;807986.819;9640272.461;5.07;537;61;0.66;0.21;6.0894760312;8.2;0.9;0.5;0
3;40;60;50;807986.819;9640272.461;4.96;578;69;0.49;0.2;3.9269119287;7.4;0.9;0.4;0
3;60;80;70;807986.819;9640272.461;4.98;623.5;82;0.36;0.13;3.6169119287;6.5;0.9;0.4;0
3;80;100;90;807986.819;9640272.461;5.01;668;89;0.43;0.15;2.3869119287;6.1;1;0.6;0
4;0;20;10;807956.832;9640230.227;5.12;314;54;1.27;0.37;6.5205016722;17.8;0.8;0.8;0.36
4;20;40;30;807956.832;9640230.227;5.08;473.5;57;1.14;0.31;6.2448606466;15;0.9;0.7;0.05
4;40;60;50;807956.832;9640230.227;5.02;636;93;0.32;0.18;2.3669119287;4.3;0.9;0.3;0
4;60;80;70;807956.832;9640230.227;4.95;671;92;0.32;0.12;2.2794760312;5.7;1;0.3;0
4;80;100;90;807956.832;9640230.227;4.86;657.5;91;0.33;0.11;2.1520401338;5.6;1;0.3;0
5;0;20;10;807927.355;9640186.832;5.03;278.5;97;0.87;0.23;7.4876811594;17.8;0.8;0.6;0.27
5;20;40;30;807927.355;9640186.832;5.13;305.5;136;0.36;0.08;5.6620401338;7.2;1;0.4;0.67
5;40;60;50;807927.355;9640186.832;5.14;384;130;0.36;0.08;4.7069119287;12.6;1.2;0.4;0.28
5;60;80;70;807927.355;9640186.832;5.06;467.5;103;0.39;0.08;5.0169119287;7.3;1.1;0.3;0
5;80;100;90;807927.355;9640186.832;4.97;578;100;0.47;0.08;3.9120401338;6.6;1;0.4;0
6;0;20;10;807953.42;9640172.523;5.49;240;86;2.04;0.48;5.2951170569;17;0.8;1;0.41
6;20;40;30;807953.42;9640172.523;5.62;323.5;72;1.17;0.31;5.2597324415;10.4;0.9;0.8;0.05
6;40;60;50;807953.42;9640172.523;4.99;576;94;0.94;0.3;3.7594760312;7.2;1;0.5;0
6;60;80;70;807953.42;9640172.523;5.09;629;105;0.9;0.2;4.7569119287;4.9;1.1;0.5;0
6;80;100;90;807953.42;9640172.523;5.09;643.5;103;0.89;0.17;3.4069119287;5.7;1;0.5;0
7;0;20;10;807901.934;9640201.641;4.89;211.5;98;1.58;0.49;10.6699665552;17.1;0.8;0.9;0.48
7;20;40;30;807901.934;9640201.641;5.02;421.5;78;0.67;0.19;5.1689520624;11.4;1;0.4;0
7;40;60;50;807901.934;9640201.641;5.01;545.5;84;0.63;0.05;4.9494760312;7.4;1.1;0.4;0
