profile;depth;BUDE
3;7;1,35
3;7;1,10
3;7;1,33
3;24,5;1,43
3;24,5;1,38
3;24,5;1,39
3;47,5;1,33
3;47,5;1,35
3;47,5;1,40
3;74;1,24
3;74;1,28
3;74;1,30
3;111,5;1,27
3;111,5;1,24
3;111,5;1,26
3;167,5;1,17
3;167,5;1,22
3;167,5;1,28
1;20;1,29
1;20;1,24
1;20;1,35
1;55,5;1,28
1;55,5;1,29
1;55,5;1,30
1;80,5;1,26
1;80,5;1,32
1;80,5;1,25
1;97,5;1,32
1;97,5;1,21
1;97,5;1,42
1;117,5;1,28
1;117,5;1,16
1;117,5;1,09
1;147,5;1,21
1;147,5;1,31
1;147,5;1,29
1;182,5;1,32
1;182,5;1,24
1;182,5;1,23
2;20;1,34
2;20;1,30
2;20;1,24
2;50;1,35
2;50;1,32
2;50;1,29
2;72,5;1,08
2;72,5;1,10
2;72,5;1,29
2;107,5;1,28
2;107,5;1,22
2;107,5;1,25
2;165;1,26
2;165;1,30
2;165;1,19
