"","V1","V2"
"pretic","Adjacent","Pretic"
"Ca.1.pred_sum"," 8012.34","18216.78"
"Ca.2.pred_sum"," 8107.922","14197.545"
"Ca.3.pred_sum"," 5121.764","10082.104"
"Ca.4.pred_sum","5036.001","9699.616"
"Ca.5.pred_sum","6195.695","8714.776"
"stock_sum","32473.72","60910.82"
"Ca.1.pred_mean","0.1591107","0.4130321"
"Ca.2.pred_mean","0.1610088","0.3219033"
"Ca.3.pred_mean","0.1017091","0.2285932"
"Ca.4.pred_mean","0.100006","0.219921"
"Ca.5.pred_mean","0.1230354","0.1975916"
"stock_mean","0.6448701","1.3810412"
"Ca.1.pred_min","0.0381094","0.1492344"
"Ca.2.pred_min","0.04823339","0.16438207"
"Ca.3.pred_min","0.03470704","0.11620682"
"Ca.4.pred_min","0.03880012","0.12547573"
"Ca.5.pred_min","0.03543993","0.09134630"
"stock_min","0.1985995","0.6887580"
"Ca.1.pred_max","0.3655696","0.7945929"
"Ca.2.pred_max","0.3121570","0.6911252"
"Ca.3.pred_max","0.2327546","0.5114014"
"Ca.4.pred_max","0.2021820","0.3432349"
"Ca.5.pred_max","0.2493775","0.5468495"
"stock_max","1.244599","2.868871"
