"","V1","V2"
"pretic","Adjacent","Pretic"
"C.1.pred_sum","233804.3","237563.6"
"C.2.pred_sum","172951.3","165522.9"
"C.3.pred_sum","126276.0","119431.9"
"C.4.pred_sum","102100.80"," 92487.02"
"C.5.pred_sum","90672.84","75763.79"
"stock_sum","725805.2","690769.2"
"C.1.pred_mean","4.492262","5.600801"
"C.2.pred_mean","3.323047","3.902369"
"C.3.pred_mean","2.426238","2.815729"
"C.4.pred_mean","1.961741","2.180475"
"C.5.pred_mean","1.742167","1.786208"
"stock_mean","13.94546","16.28558"
"C.1.pred_min","2.967863","3.432522"
"C.2.pred_min","2.409636","2.482194"
"C.3.pred_min","1.827107","1.597285"
"C.4.pred_min","1.474371","1.761717"
"C.5.pred_min","1.525274","1.139288"
"stock_min","10.80007","11.54740"
"C.1.pred_max"," 7.068451","10.537097"
"C.2.pred_max","4.953956","6.991931"
"C.3.pred_max","3.677299","4.492524"
"C.4.pred_max","2.437627","2.799339"
"C.5.pred_max","2.435453","2.145637"
"stock_max","19.58783","26.20110"
