"","V1","V2"
"pretic","Adjacent","Pretic"
"P.1.pred_sum"," 9846.941","13842.341"
"P.2.pred_sum","11710.20","18105.91"
"P.3.pred_sum","11811.81","17537.18"
"P.4.pred_sum","11936.55","16165.14"
"P.5.pred_sum","12108.76","15148.08"
"stock_sum","57414.26","80798.64"
"P.1.pred_mean","0.1891969","0.3263472"
"P.2.pred_mean","0.2249971","0.4268651"
"P.3.pred_mean","0.2269494","0.4134566"
"P.4.pred_mean","0.2293462","0.3811094"
"P.5.pred_mean","0.2326550","0.3571312"
"stock_mean","1.103145","1.904909"
"P.1.pred_min","0.07106125","0.15864672"
"P.2.pred_min","0.09171405","0.18651854"
"P.3.pred_min","0.1049606","0.1945107"
"P.4.pred_min","0.1232699","0.2342727"
"P.5.pred_min","0.1277253","0.2354501"
"stock_min","0.527103","1.015984"
"P.1.pred_max","0.5497487","0.7913189"
"P.2.pred_max","0.6157239","0.9931333"
"P.3.pred_max","0.5542555","0.8865209"
"P.4.pred_max","0.4756164","0.6820417"
"P.5.pred_max","0.4643303","0.6451048"
"stock_max","2.653289","3.998120"
